;team;date;attaque;milieu;defense;budget_transfert
44;LOSC Lille FIFA 21;26 Novembre 2020 ;77;77;75;€14.000.000
45;Stade Rennais FC FIFA 21;26 Novembre 2020 ;75;77;76;€12.000.000
46;OGC Nice FIFA 21;26 Novembre 2020 ;76;74;74;€10.500.000
47;Montpellier Hérault SC FIFA 21;26 Novembre 2020 ;76;76;73;€9.000.000
48;RC Strasbourg Alsace FIFA 21;26 Novembre 2020 ;74;74;74;€8.000.000
49;Angers SCO FIFA 21;26 Novembre 2020 ;74;74;73;€5.500.000
50;FC Girondins de Bordeaux FIFA 21;26 Novembre 2020 ;73;75;75;€10.500.000
51;FC Nantes FIFA 21;26 Novembre 2020 ;70;74;75;€8.500.000
52;AS Saint-Étienne FIFA 21;26 Novembre 2020 ;76;71;73;€12.500.000
53;Stade de Reims FIFA 21;26 Novembre 2020 ;71;72;74;€7.000.000
54;RC Lens FIFA 21;26 Novembre 2020 ;71;73;71;€8.000.000
55;Nîmes Olympique FIFA 21;26 Novembre 2020 ;71;72;72;€4.800.000
56;FC Metz FIFA 21;26 Novembre 2020 ;71;72;71;€6.000.000
57;Stade Brestois 29 FIFA 21;26 Novembre 2020 ;71;71;72;€6.000.000
58;Dijon FCO FIFA 21;26 Novembre 2020 ;72;71;70;€4.600.000
59;FC Lorient FIFA 21;26 Novembre 2020 ;70;70;70;€5.000.000
60;Paris Saint-Germain FIFA 21;27 Octobre 2020 ;86;82;79;€130.000.000
61;Olympique de Marseille FIFA 21;27 Octobre 2020 ;78;78;77;€14.000.000
62;Olympique Lyonnais FIFA 21;27 Octobre 2020 ;80;77;76;€44.000.000
63;AS Monaco FIFA 21;27 Octobre 2020 ;80;75;75;€34.500.000
64;LOSC Lille FIFA 21;27 Octobre 2020 ;77;77;75;€14.000.000
65;Stade Rennais FC FIFA 21;27 Octobre 2020 ;74;77;76;€12.000.000
66;OGC Nice FIFA 21;27 Octobre 2020 ;75;74;75;€10.500.000
67;FC Girondins de Bordeaux FIFA 21;27 Octobre 2020 ;73;74;75;€10.500.000
68;Montpellier Hérault SC FIFA 21;27 Octobre 2020 ;77;75;74;€9.000.000
69;RC Strasbourg Alsace FIFA 21;27 Octobre 2020 ;74;74;74;€8.000.000
70;Angers SCO FIFA 21;27 Octobre 2020 ;74;74;73;€5.500.000
71;FC Nantes FIFA 21;27 Octobre 2020 ;66;73;75;€8.500.000
72;AS Saint-Étienne FIFA 21;27 Octobre 2020 ;76;71;73;€12.500.000
73;Stade de Reims FIFA 21;27 Octobre 2020 ;70;72;74;€7.000.000
74;FC Metz FIFA 21;27 Octobre 2020 ;72;72;71;€6.000.000
75;RC Lens FIFA 21;27 Octobre 2020 ;71;73;70;€8.000.000
76;Stade Brestois 29 FIFA 21;27 Octobre 2020 ;71;69;72;€6.000.000
77;Nîmes Olympique FIFA 21;27 Octobre 2020 ;67;73;72;€4.800.000
78;Dijon FCO FIFA 21;27 Octobre 2020 ;73;71;71;€4.600.000
79;FC Lorient FIFA 21;27 Octobre 2020 ;70;69;70;€5.000.000
80;Paris Saint-Germain FIFA 21;23 Septembre 2020 ;86;81;79;€130.000.000
81;Olympique de Marseille FIFA 21;23 Septembre 2020 ;81;78;77;€14.000.000
82;Olympique Lyonnais FIFA 21;23 Septembre 2020 ;81;77;76;€44.000.000
83;AS Monaco FIFA 21;23 Septembre 2020 ;79;75;75;€34.500.000
84;LOSC Lille FIFA 21;23 Septembre 2020 ;77;77;75;€14.000.000
85;Stade Rennais FC FIFA 21;23 Septembre 2020 ;76;76;75;€12.000.000
86;OGC Nice FIFA 21;23 Septembre 2020 ;75;75;75;€10.500.000
87;FC Girondins de Bordeaux FIFA 21;23 Septembre 2020 ;73;74;75;€10.500.000
88;Montpellier Hérault SC FIFA 21;23 Septembre 2020 ;77;75;74;€9.000.000
89;RC Strasbourg Alsace FIFA 21;23 Septembre 2020 ;74;74;74;€8.000.000
90;FC Nantes FIFA 21;23 Septembre 2020 ;64;73;74;€8.500.000
91;Stade de Reims FIFA 21;23 Septembre 2020 ;72;73;73;€7.000.000
92;Angers SCO FIFA 21;23 Septembre 2020 ;72;72;73;€5.500.000
93;AS Saint-Étienne FIFA 21;23 Septembre 2020 ;71;72;72;€12.500.000
94;FC Metz FIFA 21;23 Septembre 2020 ;74;72;71;€6.000.000
95;Dijon FCO FIFA 21;23 Septembre 2020 ;74;71;70;€4.600.000
96;Stade Brestois 29 FIFA 21;23 Septembre 2020 ;72;71;71;€6.000.000
97;Nîmes Olympique FIFA 21;23 Septembre 2020 ;70;73;71;€4.800.000
98;RC Lens FIFA 21;23 Septembre 2020 ;71;72;70;€8.000.000
99;FC Lorient FIFA 21;23 Septembre 2020 ;70;69;71;€5.000.000
100;Paris Saint-Germain FIFA 21;24 Août 2020 ;86;82;82;€130.000.000
101;Olympique Lyonnais FIFA 21;24 Août 2020 ;81;77;77;€44.000.000
102;Olympique de Marseille FIFA 21;24 Août 2020 ;79;78;78;€14.000.000
103;AS Monaco FIFA 21;24 Août 2020 ;79;74;75;€34.500.000
104;LOSC Lille FIFA 21;24 Août 2020 ;77;77;75;€14.000.000
105;Stade Rennais FC FIFA 21;24 Août 2020 ;77;75;75;€12.000.000
106;OGC Nice FIFA 21;24 Août 2020 ;77;75;75;€10.500.000
107;FC Girondins de Bordeaux FIFA 21;24 Août 2020 ;75;74;75;€10.500.000
108;Montpellier Hérault SC FIFA 21;24 Août 2020 ;77;74;75;€9.000.000
109;FC Nantes FIFA 21;24 Août 2020 ;77;73;74;€8.500.000
110;RC Strasbourg Alsace FIFA 21;24 Août 2020 ;76;73;74;€8.000.000
111;Angers SCO FIFA 21;24 Août 2020 ;72;74;74;€5.500.000
112;AS Saint-Étienne FIFA 21;24 Août 2020 ;71;75;73;€12.500.000
113;Stade de Reims FIFA 21;24 Août 2020 ;72;73;73;€7.000.000
114;FC Metz FIFA 21;24 Août 2020 ;73;72;71;€6.000.000
115;Stade Brestois 29 FIFA 21;24 Août 2020 ;72;71;71;€6.000.000
116;Nîmes Olympique FIFA 21;24 Août 2020 ;70;72;72;€4.800.000
117;Dijon FCO FIFA 21;24 Août 2020 ;73;71;70;€4.600.000
118;RC Lens FIFA 21;24 Août 2020 ;71;71;69;€8.000.000
119;FC Lorient FIFA 21;24 Août 2020 ;70;69;71;€5.000.000
120;Paris Saint-Germain FIFA 20;29 Juillet 2020 ;88;84;83;€184.500.000
121;Olympique Lyonnais FIFA 20;29 Juillet 2020 ;79;78;77;€40.500.000
122;Olympique de Marseille FIFA 20;29 Juillet 2020 ;80;78;77;€18.000.000
123;AS Monaco Football Club SA FIFA 20;29 Juillet 2020 ;80;78;76;€40.000.000
124;LOSC FIFA 20;29 Juillet 2020 ;77;77;76;€14.500.000
125;Stade Rennais FC FIFA 20;29 Juillet 2020 ;76;77;76;€12.000.000
126;AS Saint-Étienne FIFA 20;29 Juillet 2020 ;73;76;75;€11.000.000
127;Montpellier Hérault SC FIFA 20;29 Juillet 2020 ;78;74;75;€9.500.000
128;FC Girondins de Bordeaux FIFA 20;29 Juillet 2020 ;75;75;76;€12.000.000
129;OGC Nice FIFA 20;29 Juillet 2020 ;74;76;74;€10.500.000
130;RC Strasbourg Alsace FIFA 20;29 Juillet 2020 ;75;74;74;€8.000.000
131;FC Nantes FIFA 20;29 Juillet 2020 ;75;73;74;€7.000.000
132;Angers SCO FIFA 20;29 Juillet 2020 ;74;75;74;€5.500.000
133;Amiens SC FIFA 20;29 Juillet 2020 ;73;73;71;€5.500.000
134;Toulouse Football Club FIFA 20;29 Juillet 2020 ;72;74;71;€8.000.000
135;Stade de Reims FIFA 20;29 Juillet 2020 ;71;73;73;€6.500.000
136;Football Club de Metz FIFA 20;29 Juillet 2020 ;73;72;72;€4.900.000
137;Stade Brestois 29 FIFA 20;29 Juillet 2020 ;72;72;72;€4.600.000
138;Dijon FCO FIFA 20;29 Juillet 2020 ;72;72;70;€4.300.000
139;Nîmes Olympique FIFA 20;29 Juillet 2020 ;72;70;72;€4.800.000
140;Paris Saint-Germain FIFA 20;24 Juin 2020 ;88;84;83;€184.500.000
141;Olympique Lyonnais FIFA 20;24 Juin 2020 ;79;78;77;€40.500.000
142;Olympique de Marseille FIFA 20;24 Juin 2020 ;80;78;77;€18.000.000
143;AS Monaco Football Club SA FIFA 20;24 Juin 2020 ;80;78;76;€40.000.000
144;LOSC FIFA 20;24 Juin 2020 ;77;77;76;€14.500.000
145;Stade Rennais FC FIFA 20;24 Juin 2020 ;76;77;76;€12.000.000
146;AS Saint-Étienne FIFA 20;24 Juin 2020 ;73;76;75;€11.000.000
147;Montpellier Hérault SC FIFA 20;24 Juin 2020 ;78;74;75;€9.500.000
148;FC Girondins de Bordeaux FIFA 20;24 Juin 2020 ;75;75;76;€12.000.000
149;OGC Nice FIFA 20;24 Juin 2020 ;74;76;74;€10.500.000
150;RC Strasbourg Alsace FIFA 20;24 Juin 2020 ;75;74;74;€8.000.000
151;FC Nantes FIFA 20;24 Juin 2020 ;75;73;74;€7.000.000
152;Angers SCO FIFA 20;24 Juin 2020 ;74;75;74;€5.500.000
153;Amiens SC FIFA 20;24 Juin 2020 ;73;73;71;€5.500.000
154;Toulouse Football Club FIFA 20;24 Juin 2020 ;72;74;71;€8.000.000
155;Stade de Reims FIFA 20;24 Juin 2020 ;71;73;73;€6.500.000
156;Football Club de Metz FIFA 20;24 Juin 2020 ;73;72;72;€4.900.000
157;Stade Brestois 29 FIFA 20;24 Juin 2020 ;72;72;72;€4.600.000
158;Dijon FCO FIFA 20;24 Juin 2020 ;72;72;70;€4.300.000
159;Nîmes Olympique FIFA 20;24 Juin 2020 ;72;70;72;€4.800.000
160;Paris Saint-Germain FIFA 20;27 Mai 2020 ;88;84;83;€184.500.000
161;Olympique Lyonnais FIFA 20;27 Mai 2020 ;79;78;77;€40.500.000
162;Olympique de Marseille FIFA 20;27 Mai 2020 ;80;78;77;€18.000.000
163;AS Monaco Football Club SA FIFA 20;27 Mai 2020 ;80;78;76;€40.000.000
164;LOSC FIFA 20;27 Mai 2020 ;77;77;76;€14.500.000
165;Stade Rennais FC FIFA 20;27 Mai 2020 ;76;77;76;€12.000.000
166;AS Saint-Étienne FIFA 20;27 Mai 2020 ;73;76;75;€11.000.000
167;Montpellier Hérault SC FIFA 20;27 Mai 2020 ;78;74;75;€9.500.000
168;FC Girondins de Bordeaux FIFA 20;27 Mai 2020 ;75;75;76;€12.000.000
169;OGC Nice FIFA 20;27 Mai 2020 ;74;76;74;€10.500.000
170;RC Strasbourg Alsace FIFA 20;27 Mai 2020 ;75;74;74;€8.000.000
171;FC Nantes FIFA 20;27 Mai 2020 ;75;73;74;€7.000.000
172;Angers SCO FIFA 20;27 Mai 2020 ;74;75;74;€5.500.000
173;Amiens SC FIFA 20;27 Mai 2020 ;73;73;71;€5.500.000
174;Toulouse Football Club FIFA 20;27 Mai 2020 ;72;74;71;€8.000.000
175;Stade de Reims FIFA 20;27 Mai 2020 ;71;73;73;€6.500.000
176;Football Club de Metz FIFA 20;27 Mai 2020 ;73;72;72;€4.900.000
177;Stade Brestois 29 FIFA 20;27 Mai 2020 ;72;72;72;€4.600.000
178;Dijon FCO FIFA 20;27 Mai 2020 ;72;72;70;€4.300.000
179;Nîmes Olympique FIFA 20;27 Mai 2020 ;72;70;72;€4.800.000
180;Paris Saint-Germain FIFA 20;29 Avril 2020 ;88;84;83;€184.500.000
181;Olympique Lyonnais FIFA 20;29 Avril 2020 ;79;78;77;€40.500.000
182;Olympique de Marseille FIFA 20;29 Avril 2020 ;80;78;77;€18.000.000
183;AS Monaco Football Club SA FIFA 20;29 Avril 2020 ;80;78;76;€40.000.000
184;LOSC FIFA 20;29 Avril 2020 ;77;77;76;€14.500.000
185;Stade Rennais FC FIFA 20;29 Avril 2020 ;76;77;76;€12.000.000
186;AS Saint-Étienne FIFA 20;29 Avril 2020 ;73;76;75;€11.000.000
187;Montpellier Hérault SC FIFA 20;29 Avril 2020 ;78;74;75;€9.500.000
188;FC Girondins de Bordeaux FIFA 20;29 Avril 2020 ;75;75;76;€12.000.000
189;OGC Nice FIFA 20;29 Avril 2020 ;74;76;74;€10.500.000
190;RC Strasbourg Alsace FIFA 20;29 Avril 2020 ;75;74;74;€8.000.000
191;FC Nantes FIFA 20;29 Avril 2020 ;75;73;74;€7.000.000
192;Angers SCO FIFA 20;29 Avril 2020 ;74;75;74;€5.500.000
193;Amiens SC FIFA 20;29 Avril 2020 ;73;73;71;€5.500.000
194;Toulouse Football Club FIFA 20;29 Avril 2020 ;72;74;71;€8.000.000
195;Stade de Reims FIFA 20;29 Avril 2020 ;71;73;73;€6.500.000
196;Football Club de Metz FIFA 20;29 Avril 2020 ;73;72;72;€4.900.000
197;Stade Brestois 29 FIFA 20;29 Avril 2020 ;72;72;72;€4.600.000
198;Dijon FCO FIFA 20;29 Avril 2020 ;72;72;70;€4.300.000
199;Nîmes Olympique FIFA 20;29 Avril 2020 ;72;70;72;€4.800.000
200;Paris Saint-Germain FIFA 20;30 Mars 2020 ;88;84;83;€184.500.000
201;Olympique Lyonnais FIFA 20;30 Mars 2020 ;79;78;77;€40.500.000
202;Olympique de Marseille FIFA 20;30 Mars 2020 ;80;78;77;€18.000.000
203;AS Monaco Football Club SA FIFA 20;30 Mars 2020 ;80;78;76;€40.000.000
204;LOSC FIFA 20;30 Mars 2020 ;77;77;76;€14.500.000
205;Stade Rennais FC FIFA 20;30 Mars 2020 ;75;77;75;€12.000.000
206;AS Saint-Étienne FIFA 20;30 Mars 2020 ;73;76;75;€11.000.000
207;Montpellier Hérault SC FIFA 20;30 Mars 2020 ;78;74;75;€9.500.000
208;FC Girondins de Bordeaux FIFA 20;30 Mars 2020 ;75;75;76;€12.000.000
209;OGC Nice FIFA 20;30 Mars 2020 ;73;75;74;€10.500.000
210;RC Strasbourg Alsace FIFA 20;30 Mars 2020 ;75;74;74;€8.000.000
211;FC Nantes FIFA 20;30 Mars 2020 ;75;73;74;€7.000.000
212;Angers SCO FIFA 20;30 Mars 2020 ;74;75;74;€5.500.000
213;Amiens SC FIFA 20;30 Mars 2020 ;74;73;71;€5.500.000
214;Toulouse Football Club FIFA 20;30 Mars 2020 ;72;74;71;€8.000.000
215;Stade de Reims FIFA 20;30 Mars 2020 ;71;73;73;€6.500.000
216;Football Club de Metz FIFA 20;30 Mars 2020 ;73;72;71;€4.900.000
217;Stade Brestois 29 FIFA 20;30 Mars 2020 ;72;72;72;€4.600.000
218;Dijon FCO FIFA 20;30 Mars 2020 ;72;72;70;€4.300.000
219;Nîmes Olympique FIFA 20;30 Mars 2020 ;72;70;72;€4.800.000
220;Paris Saint-Germain FIFA 20;24 Février 2020 ;88;83;83;€184.500.000
221;Olympique Lyonnais FIFA 20;24 Février 2020 ;78;77;77;€40.500.000
222;AS Monaco Football Club SA FIFA 20;24 Février 2020 ;79;77;76;€40.000.000
223;Olympique de Marseille FIFA 20;24 Février 2020 ;77;78;77;€18.000.000
224;LOSC FIFA 20;24 Février 2020 ;77;77;76;€14.500.000
225;Stade Rennais FC FIFA 20;24 Février 2020 ;76;76;75;€12.000.000
226;AS Saint-Étienne FIFA 20;24 Février 2020 ;73;76;75;€11.000.000
227;Montpellier Hérault SC FIFA 20;24 Février 2020 ;77;74;76;€9.500.000
228;FC Girondins de Bordeaux FIFA 20;24 Février 2020 ;75;75;76;€12.000.000
229;OGC Nice FIFA 20;24 Février 2020 ;74;75;74;€10.500.000
230;RC Strasbourg Alsace FIFA 20;24 Février 2020 ;75;73;74;€8.000.000
231;Angers SCO FIFA 20;24 Février 2020 ;74;75;73;€5.500.000
232;FC Nantes FIFA 20;24 Février 2020 ;72;74;74;€7.000.000
233;Amiens SC FIFA 20;24 Février 2020 ;73;74;72;€5.500.000
234;Toulouse Football Club FIFA 20;24 Février 2020 ;73;74;71;€8.000.000
235;Stade de Reims FIFA 20;24 Février 2020 ;71;73;73;€6.500.000
236;Football Club de Metz FIFA 20;24 Février 2020 ;73;72;71;€4.900.000
237;Stade Brestois 29 FIFA 20;24 Février 2020 ;72;72;72;€4.600.000
238;Dijon FCO FIFA 20;24 Février 2020 ;72;71;70;€4.300.000
239;Nîmes Olympique FIFA 20;24 Février 2020 ;69;71;71;€4.800.000
240;Paris Saint-Germain FIFA 20;30 Janvier 2020 ;88;83;83;€184.500.000
241;Olympique Lyonnais FIFA 20;30 Janvier 2020 ;78;79;77;€40.500.000
242;AS Monaco Football Club SA FIFA 20;30 Janvier 2020 ;79;79;76;€40.000.000
243;Olympique de Marseille FIFA 20;30 Janvier 2020 ;77;78;77;€18.000.000
244;LOSC FIFA 20;30 Janvier 2020 ;77;77;76;€14.500.000
245;AS Saint-Étienne FIFA 20;30 Janvier 2020 ;78;75;75;€11.000.000
246;Stade Rennais FC FIFA 20;30 Janvier 2020 ;75;76;74;€12.000.000
247;FC Girondins de Bordeaux FIFA 20;30 Janvier 2020 ;75;75;77;€12.000.000
248;Montpellier Hérault SC FIFA 20;30 Janvier 2020 ;75;75;76;€9.500.000
249;OGC Nice FIFA 20;30 Janvier 2020 ;75;75;74;€10.500.000
250;Angers SCO FIFA 20;30 Janvier 2020 ;74;75;73;€5.500.000
251;RC Strasbourg Alsace FIFA 20;30 Janvier 2020 ;74;73;75;€8.000.000
252;FC Nantes FIFA 20;30 Janvier 2020 ;73;73;74;€7.000.000
253;Amiens SC FIFA 20;30 Janvier 2020 ;73;74;72;€5.500.000
254;Toulouse Football Club FIFA 20;30 Janvier 2020 ;73;72;71;€8.000.000
255;Stade de Reims FIFA 20;30 Janvier 2020 ;72;74;73;€6.500.000
256;Stade Brestois 29 FIFA 20;30 Janvier 2020 ;74;72;72;€4.600.000
257;Football Club de Metz FIFA 20;30 Janvier 2020 ;73;72;71;€4.900.000
258;Dijon FCO FIFA 20;30 Janvier 2020 ;72;71;71;€4.300.000
259;Nîmes Olympique FIFA 20;30 Janvier 2020 ;69;70;71;€4.800.000
260;Paris Saint-Germain FIFA 20;23 Décembre 2019 ;88;83;84;€184.500.000
261;AS Monaco Football Club SA FIFA 20;23 Décembre 2019 ;79;78;77;€40.000.000
262;Olympique de Marseille FIFA 20;23 Décembre 2019 ;77;79;76;€18.000.000
263;Olympique Lyonnais FIFA 20;23 Décembre 2019 ;77;79;76;€40.500.000
264;LOSC FIFA 20;23 Décembre 2019 ;77;77;76;€14.500.000
265;AS Saint-Étienne FIFA 20;23 Décembre 2019 ;76;75;76;€11.000.000
266;Stade Rennais FC FIFA 20;23 Décembre 2019 ;75;75;75;€12.000.000
267;Montpellier Hérault SC FIFA 20;23 Décembre 2019 ;75;75;74;€9.500.000
268;OGC Nice FIFA 20;23 Décembre 2019 ;74;74;74;€10.500.000
269;FC Girondins de Bordeaux FIFA 20;23 Décembre 2019 ;72;75;77;€12.000.000
270;Angers SCO FIFA 20;23 Décembre 2019 ;74;75;73;€5.500.000
271;RC Strasbourg Alsace FIFA 20;23 Décembre 2019 ;74;73;74;€8.000.000
272;FC Nantes FIFA 20;23 Décembre 2019 ;73;73;73;€7.000.000
273;Stade de Reims FIFA 20;23 Décembre 2019 ;72;74;74;€6.500.000
274;Amiens SC FIFA 20;23 Décembre 2019 ;74;73;72;€5.500.000
275;Toulouse Football Club FIFA 20;23 Décembre 2019 ;73;71;71;€8.000.000
276;Stade Brestois 29 FIFA 20;23 Décembre 2019 ;73;72;72;€4.600.000
277;Football Club de Metz FIFA 20;23 Décembre 2019 ;72;71;72;€4.900.000
278;Dijon FCO FIFA 20;23 Décembre 2019 ;72;71;71;€4.300.000
279;Nîmes Olympique FIFA 20;23 Décembre 2019 ;71;70;71;€4.800.000
280;Paris Saint-Germain FIFA 20;21 Novembre 2019 ;87;85;84;€184.500.000
281;Olympique Lyonnais FIFA 20;21 Novembre 2019 ;81;78;77;€40.500.000
282;AS Monaco Football Club SA FIFA 20;21 Novembre 2019 ;79;78;76;€40.000.000
283;Olympique de Marseille FIFA 20;21 Novembre 2019 ;77;78;76;€18.000.000
284;AS Saint-Étienne FIFA 20;21 Novembre 2019 ;77;76;76;€11.000.000
285;LOSC FIFA 20;21 Novembre 2019 ;76;77;76;€14.500.000
286;Stade Rennais FC FIFA 20;21 Novembre 2019 ;75;75;75;€12.000.000
287;Montpellier Hérault SC FIFA 20;21 Novembre 2019 ;75;75;75;€9.500.000
288;OGC Nice FIFA 20;21 Novembre 2019 ;74;74;76;€10.500.000
289;FC Girondins de Bordeaux FIFA 20;21 Novembre 2019 ;74;74;76;€12.000.000
290;Angers SCO FIFA 20;21 Novembre 2019 ;74;75;73;€5.500.000
291;RC Strasbourg Alsace FIFA 20;21 Novembre 2019 ;74;72;74;€8.000.000
292;Toulouse Football Club FIFA 20;21 Novembre 2019 ;73;75;73;€8.000.000
293;Stade de Reims FIFA 20;21 Novembre 2019 ;73;74;73;€6.500.000
294;Amiens SC FIFA 20;21 Novembre 2019 ;74;73;72;€5.500.000
295;FC Nantes FIFA 20;21 Novembre 2019 ;73;73;73;€7.000.000
296;Stade Brestois 29 FIFA 20;21 Novembre 2019 ;73;72;71;€4.600.000
297;Football Club de Metz FIFA 20;21 Novembre 2019 ;72;71;72;€4.900.000
298;Dijon FCO FIFA 20;21 Novembre 2019 ;72;70;70;€4.300.000
299;Nîmes Olympique FIFA 20;21 Novembre 2019 ;71;70;72;€4.800.000
300;Paris Saint-Germain FIFA 20;30 Octobre 2019 ;87;85;83;€184.500.000
301;Olympique Lyonnais FIFA 20;30 Octobre 2019 ;80;78;77;€40.500.000
302;AS Monaco Football Club SA FIFA 20;30 Octobre 2019 ;79;78;76;€40.000.000
303;Olympique de Marseille FIFA 20;30 Octobre 2019 ;77;79;75;€18.000.000
304;LOSC FIFA 20;30 Octobre 2019 ;76;77;75;€14.500.000
305;AS Saint-Étienne FIFA 20;30 Octobre 2019 ;76;75;76;€11.000.000
306;Stade Rennais FC FIFA 20;30 Octobre 2019 ;76;76;74;€12.000.000
307;Montpellier Hérault SC FIFA 20;30 Octobre 2019 ;75;75;75;€9.500.000
308;FC Girondins de Bordeaux FIFA 20;30 Octobre 2019 ;75;74;76;€12.000.000
309;OGC Nice FIFA 20;30 Octobre 2019 ;74;74;76;€10.500.000
310;Angers SCO FIFA 20;30 Octobre 2019 ;74;75;73;€5.500.000
311;Toulouse Football Club FIFA 20;30 Octobre 2019 ;74;74;73;€8.000.000
312;RC Strasbourg Alsace FIFA 20;30 Octobre 2019 ;74;74;73;€8.000.000
313;Amiens SC FIFA 20;30 Octobre 2019 ;74;73;72;€5.500.000
314;FC Nantes FIFA 20;30 Octobre 2019 ;73;72;73;€7.000.000
315;Stade de Reims FIFA 20;30 Octobre 2019 ;72;74;73;€6.500.000
316;Stade Brestois 29 FIFA 20;30 Octobre 2019 ;73;72;71;€4.600.000
317;Football Club de Metz FIFA 20;30 Octobre 2019 ;73;71;72;€4.900.000
318;Dijon FCO FIFA 20;30 Octobre 2019 ;72;70;69;€4.300.000
319;Nîmes Olympique FIFA 20;30 Octobre 2019 ;71;69;71;€4.800.000
320;Paris Saint-Germain FIFA 20;30 Septembre 2019 ;87;84;84;€184.500.000
321;Olympique Lyonnais FIFA 20;30 Septembre 2019 ;80;78;77;€40.500.000
322;AS Monaco Football Club SA FIFA 20;30 Septembre 2019 ;78;79;77;€40.000.000
323;Olympique de Marseille FIFA 20;30 Septembre 2019 ;79;79;75;€18.000.000
324;LOSC FIFA 20;30 Septembre 2019 ;76;77;75;€14.500.000
325;AS Saint-Étienne FIFA 20;30 Septembre 2019 ;76;76;75;€11.000.000
326;Stade Rennais FC FIFA 20;30 Septembre 2019 ;77;76;74;€12.000.000
327;FC Girondins de Bordeaux FIFA 20;30 Septembre 2019 ;75;74;76;€12.000.000
328;Montpellier Hérault SC FIFA 20;30 Septembre 2019 ;75;74;75;€9.500.000
329;OGC Nice FIFA 20;30 Septembre 2019 ;73;75;76;€10.500.000
330;Angers SCO FIFA 20;30 Septembre 2019 ;74;75;72;€5.500.000
