;player;club;date;taille;poid;meilleur_pied;age;valeur;salaire;controles;dribbles;marquage;tacle_glisse;tacle_debout;engagement;reactivite;placement;intercept;vista;discipline;passe_centre;passe_courte;passe_longue;phy_acceleration;phy_endurance;phy_force; phy_equilibre;phy_vitesse;phy_agilite;phy_detente;tir_tete;tir_frappe;tir_finition;tir_loin;tir_effet;tir_precision;tir_penalty;tir_volee;gardien_placement;gardien_plongeon;gardien_main;gardien_pied;gardien_reflexe;phy_equilibre
10;Roy Makaay;Bayern Munich;24 Août 2005 ;188 cm;75 kg;Droit;30;;;87;83;23;32;;30;85;;;;97;62;68;31;92;79;80;;93;;;95;97;;84.0;;96;;;22;;20;;23;
11;Mohammed Ali Karimi;Bayern Munich;24 Août 2005 ;179 cm;78 kg;Droit;26;;;81;73;22;22;;25;71;;;;50;69;77;72;79;31;46;;79;;;42;57;;72.0;;52;;;23;;21;;22;
12;Hasan Salihamidzic;Bayern Munich;24 Août 2005 ;180 cm;78 kg;Droit;28;;;79;81;35;46;;91;78;;;;76;81;78;51;75;94;79;;81;;;42;50;;62.0;;49;;;24;;20;;20;
13;Bixente Lizarazu;Bayern Munich;24 Août 2005 ;169 cm;69 kg;Gauche;35;;;86;77;86;81;;80;85;;;;79;80;74;81;86;88;83;;79;;;36;36;;52.0;;41;;;23;;23;;20;
14;Michael Rensing;Bayern Munich;24 Août 2005 ;187 cm;86 kg;Droit;21;;;22;22;20;20;;33;50;;;;85;23;23;31;53;30;53;;58;;;21;36;;25.0;;23;;;73;;65;;79;
15;Bastian Schweinsteiger;Bayern Munich;24 Août 2005 ;180 cm;76 kg;Droit;21;;;83;82;61;59;;65;78;;;;75;77;75;60;75;78;65;;70;;;43;75;;69.0;;77;;;21;;23;;24;
16;Andreas Ottl;Bayern Munich;24 Août 2005 ;185 cm;76 kg;Gauche;20;;;66;45;66;62;;66;45;;;;32;46;62;33;62;72;77;;64;;;72;49;;44.0;;34;;;21;;22;;21;
17;Owen Hargreaves;Bayern Munich;24 Août 2005 ;191 cm;81 kg;Droit;29;;;83;78;85;85;;75;87;;;;85;69;86;71;87;90;64;;89;;;57;72;;81.0;;47;;;21;;22;;24;
18;Mehmet Scholl;Bayern Munich;24 Août 2005 ;176 cm;69 kg;Droit;34;;;89;91;22;25;;46;65;;;;80;65;91;62;58;60;33;;61;;;36;74;;71.0;;76;;;22;;25;;20;
19;Jens Jeremies;Bayern Munich;24 Août 2005 ;179 cm;78 kg;Droit;26;;;75;47;85;85;;94;75;;;;50;44;71;75;65;85;72;;71;;;79;71;;66.0;;43;;;20;;22;;22;
20;José Paolo Guerrero;Bayern Munich;24 Août 2005 ;183 cm;72 kg;Droit;21;;;72;65;25;24;;23;84;;;;46;30;63;26;70;57;48;;70;;;79;74;;44.0;;89;;;20;;23;;25;
21;Andreas Görlitz;Bayern Munich;24 Août 2005 ;179 cm;74 kg;Droit;23;;;54;71;77;82;;56;55;;;;65;84;71;54;72;67;61;;67;;;73;52;;27.0;;22;;;22;;22;;23;
22;Roque Santa Cruz;Bayern Munich;24 Août 2005 ;189 cm;80 kg;Droit;24;;;86;80;20;34;;88;87;;;;87;62;62;31;80;86;80;;80;;;82;83;;69.0;;87;;;21;;20;;20;
23;Timo Hildebrand;VfB Stuttgart;24 Août 2005 ;185 cm;77 kg;Droit;26;;;22;23;23;25;;70;88;;;;80;22;22;21;69;78;83;;67;;;22;74;;21.0;;21;;;81;;90;;92;
24;Andreas Hinkel;VfB Stuttgart;24 Août 2005 ;183 cm;74 kg;Droit;23;;;82;81;81;85;;76;84;;;;73;87;77;72;91;83;74;;87;;;52;63;;59.0;;51;;;24;;24;;24;
25;Fernando Meira;VfB Stuttgart;24 Août 2005 ;190 cm;85 kg;Droit;27;;;76;69;86;91;;81;91;;;;82;67;76;83;78;87;93;;80;;;89;86;;81.0;;51;;;23;;20;;21;
26;Markus Babbel;VfB Stuttgart;24 Août 2005 ;191 cm;81 kg;Droit;32;;;61;36;86;92;;77;84;;;;91;51;67;73;64;81;82;;77;;;91;79;;48.0;;49;;;25;;24;;23;
27;Ludovic Magnin;VfB Stuttgart;24 Août 2005 ;185 cm;76 kg;Gauche;26;;;72;63;78;78;;69;78;;;;69;78;74;76;76;76;72;;83;;;67;72;;76.0;;48;;;24;;22;;21;
28;Jesper Grønkjær;VfB Stuttgart;24 Août 2005 ;187 cm;81 kg;Droit;28;;;81;86;42;46;;79;78;;;;77;78;83;74;87;80;85;;91;;;64;78;;74.0;;69;;;23;;21;;24;
29;Silvio Meißner;VfB Stuttgart;24 Août 2005 ;176 cm;76 kg;Droit;32;;;74;57;78;84;;94;81;;;;63;72;72;77;66;92;62;;72;;;89;89;;82.0;;80;;;23;;21;;23;
30;Zvonimir Soldo;VfB Stuttgart;24 Août 2005 ;189 cm;85 kg;Droit;37;;;76;34;88;92;;82;92;;;;83;53;84;84;41;74;88;;56;;;94;81;;74.0;;69;;;23;;24;;22;
31;Thomas Hitzlsperger;VfB Stuttgart;24 Août 2005 ;182 cm;75 kg;Gauche;23;;;81;72;63;82;;86;74;;;;67;78;77;56;74;83;82;;70;;;70;93;;83.0;;62;;;21;;21;;24;
32;Jon Dahl Tomasson;VfB Stuttgart;24 Août 2005 ;182 cm;73 kg;Droit;28;;;84;85;28;45;;92;93;;;;82;62;69;42;84;86;81;;85;;;85;88;;43.0;;93;;;20;;20;;20;
33;Cacau;VfB Stuttgart;24 Août 2005 ;179 cm;74 kg;Droit;24;;;83;83;21;44;;62;76;;;;53;57;64;51;91;76;69;;88;;;54;78;;82.0;;87;;;22;;24;;24;
34;Christian Tiffert;VfB Stuttgart;24 Août 2005 ;183 cm;75 kg;Droit;23;;;82;83;59;78;;94;71;;;;62;84;82;78;89;81;74;;90;;;70;84;;80.0;;68;;;22;;22;;23;
35;Martin Stranzl;VfB Stuttgart;24 Août 2005 ;190 cm;80 kg;Droit;25;;;71;63;83;86;;82;77;;;;62;68;72;81;80;81;79;;83;;;82;74;;65.0;;48;;;25;;20;;20;
36;Daniel Bierofka;VfB Stuttgart;24 Août 2005 ;178 cm;72 kg;Gauche;26;;;79;88;52;68;;93;77;;;;58;81;79;61;91;71;80;;92;;;45;72;;76.0;;63;;;23;;21;;21;
37;Marco Streller;VfB Stuttgart;24 Août 2005 ;195 cm;82 kg;Gauche;24;;;77;73;28;40;;63;77;;;;67;59;69;51;73;74;76;;78;;;81;79;;73.0;;81;;;20;;21;;23;
38;Mario Carevič;VfB Stuttgart;24 Août 2005 ;186 cm;78 kg;Gauche;23;;;73;62;61;66;;55;75;;;;67;89;91;66;77;71;62;;72;;;46;71;;65.0;;72;;;22;;23;;23;
39;Christian Gentner;VfB Stuttgart;24 Août 2005 ;189 cm;82 kg;Gauche;20;;;72;55;42;51;;68;68;;;;61;78;79;76;74;76;73;;81;;;85;75;;74.0;;51;;;25;;24;;20;
40;Heiko Gerber;VfB Stuttgart;24 Août 2005 ;181 cm;75 kg;Gauche;33;;;72;57;69;77;;74;67;;;;78;78;73;78;69;79;76;;78;;;63;81;;74.0;;51;;;24;;21;;20;
41;Boris Zivkovic;VfB Stuttgart;24 Août 2005 ;182 cm;80 kg;Droit;29;;;71;47;84;82;;93;70;;;;53;57;62;77;71;84;88;;77;;;87;84;;87.0;;43;;;22;;23;;25;
42;Matthieu Delpierre;VfB Stuttgart;24 Août 2005 ;193 cm;86 kg;Gauche;24;;;73;43;83;83;;76;74;;;;64;61;61;62;74;72;75;;77;;;79;61;;49.0;;42;;;22;;20;;23;
43;Dirk Heinen;VfB Stuttgart;24 Août 2005 ;188 cm;84 kg;Droit;34;;;33;35;24;35;;55;40;;;;60;22;35;28;35;66;64;;47;;;35;35;;24.0;;40;;;69;;74;;73;
44;Mario Gomez;VfB Stuttgart;24 Août 2005 ;189 cm;81 kg;Droit;20;;;64;58;31;35;;74;53;;;;54;42;61;49;73;68;81;;74;;;81;74;;59.0;;71;;;22;;24;;23;
45;Horst Heldt;VfB Stuttgart;24 Août 2005 ;170 cm;68 kg;Gauche;35;;;82;72;33;63;;64;83;;;;79;77;83;81;58;58;59;;63;;;32;68;;74.0;;56;;;21;;25;;20;
46;Tim Wiese;Werder Brême;24 Août 2005 ;193 cm;91 kg;Droit;23;;;28;35;28;35;;80;46;;;;41;35;35;23;35;43;81;;42;;;35;35;;21.0;;23;;;80;;85;;83;
47;Patrick Owomoyela;Werder Brême;24 Août 2005 ;187 cm;80 kg;Droit;25;;;75;79;82;77;;71;62;;;;82;76;77;64;87;88;77;;83;;;82;56;;45.0;;53;;;20;;25;;20;
48;Petri Pasanen;Werder Brême;24 Août 2005 ;187 cm;86 kg;Droit;24;;;59;43;83;85;;80;76;;;;71;53;67;60;66;82;85;;73;;;86;57;;39.0;;42;;;23;;20;;20;
49;Naldo;Werder Brême;24 Août 2005 ;195 cm;90 kg;Droit;22;;;44;45;83;84;;47;75;;;;67;39;72;49;52;53;81;;58;;;89;71;;59.0;;48;;;23;;21;;21;
50;Jelle van Damme;Werder Brême;24 Août 2005 ;190 cm;83 kg;Gauche;21;;;71;63;76;75;;81;65;;;;75;62;57;58;64;83;76;;55;;;69;57;;32.0;;41;;;22;;23;;24;
51;Frank Baumann;Werder Brême;24 Août 2005 ;187 cm;81 kg;Droit;29;;;74;56;84;89;;75;77;;;;79;55;79;67;70;93;85;;73;;;90;62;;42.0;;56;;;25;;25;;25;
52;Torsten Frings;Werder Brême;24 Août 2005 ;182 cm;80 kg;Droit;28;;;79;76;71;85;;80;87;;;;70;74;85;89;76;95;88;;72;;;67;72;;71.0;;77;;;23;;21;;20;
53;Tim Borowski;Werder Brême;24 Août 2005 ;194 cm;84 kg;Droit;25;;;77;74;67;72;;69;76;;;;70;65;82;74;65;80;83;;69;;;80;81;;73.0;;70;;;24;;21;;22;
54;Johan Micoud;Werder Brême;24 Août 2005 ;188 cm;80 kg;Droit;32;;;88;87;31;41;;70;80;;;;83;80;90;86;67;80;84;;73;;;56;65;;73.0;;69;;;21;;21;;23;
55;Miroslav Klose;Werder Brême;24 Août 2005 ;183 cm;74 kg;Droit;27;;;79;79;36;56;;75;77;;;;75;74;77;21;81;92;82;;84;;;93;84;;74.0;;88;;;22;;25;;20;
56;Ivan Klasnic;Werder Brême;24 Août 2005 ;186 cm;79 kg;Gauche;25;;;87;87;37;46;;60;76;;;;65;78;79;38;86;72;70;;87;;;87;82;;78.0;;88;;;21;;21;;23;
57;Nelson Antonio Haedo Valdez;Werder Brême;24 Août 2005 ;178 cm;71 kg;Droit;21;;;76;81;21;41;;56;72;;;;69;59;62;45;76;66;60;;73;;;78;76;;65.0;;81;;;20;;25;;22;
58;Mohamed Zidan;Werder Brême;24 Août 2005 ;172 cm;70 kg;Droit;23;;;88;90;34;34;;89;60;;;;54;68;66;47;89;83;80;;86;;;64;76;;72.0;;79;;;20;;23;;23;
59;Andreas Reinke;Werder Brême;24 Août 2005 ;192 cm;95 kg;Droit;36;;;29;28;32;32;;50;40;;;;40;29;37;21;35;40;70;;35;;;29;36;;21.0;;25;;;66;;71;;76;
60;Leon Andreasen;Werder Brême;24 Août 2005 ;182 cm;70 kg;Droit;22;;;73;57;74;76;;93;62;;;;59;51;59;63;76;90;29;;78;;;69;71;;42.0;;27;;;23;;20;;20;
61;Daniel Jensen;Werder Brême;24 Août 2005 ;185 cm;74 kg;Droit;26;;;75;74;59;58;;69;72;;;;72;70;75;70;65;78;61;;71;;;60;68;;53.0;;55;;;24;;25;;22;
62;Frank Fahrenhorst;Werder Brême;24 Août 2005 ;190 cm;86 kg;Droit;27;;;65;40;82;85;;74;74;;;;63;40;52;62;56;76;85;;70;;;93;61;;39.0;;39;;;20;;21;;22;
63;Francis Banecki;Werder Brême;24 Août 2005 ;192 cm;94 kg;Droit;20;;;36;30;64;73;;74;59;;;;53;30;61;33;54;66;86;;59;;;84;42;;34.0;;27;;;20;;20;;21;
64;Jurica Vranjes;Werder Brême;24 Août 2005 ;186 cm;70 kg;Droit;25;;;73;48;57;76;;61;69;;;;56;65;77;75;54;60;72;;69;;;76;74;;43.0;;39;;;21;;22;;20;
65;Ümit;Werder Brême;24 Août 2005 ;186 cm;78 kg;Droit;32;;;75;75;56;54;;60;70;;;;63;75;81;73;57;70;78;;63;;;68;55;;63.0;;52;;;23;;23;;20;
66;Pekka Lagerblom;Werder Brême;24 Août 2005 ;180 cm;79 kg;Droit;22;;;69;52;45;65;;64;54;;;;51;65;65;55;63;70;50;;67;;;55;55;;68.0;;41;;;23;;20;;22;
67;Aaron Hunt;Werder Brême;24 Août 2005 ;183 cm;72 kg;Gauche;18;;;76;72;30;41;;36;56;;;;53;69;63;64;83;66;62;;78;;;70;73;;61.0;;69;;;20;;22;;22;
68;Christian Schulz;Werder Brême;24 Août 2005 ;185 cm;77 kg;Gauche;22;;;73;69;69;79;;69;74;;;;73;76;72;69;74;79;69;;72;;;62;42;;54.0;;39;;;21;;25;;20;
69;Roman Weidenfeller;Borussia Dortmund;24 Août 2005 ;188 cm;85 kg;Droit;25;;;32;35;29;35;;24;60;;;;51;35;35;27;57;59;70;;49;;;35;35;;36.0;;32;;;79;;81;;97;
70;Philipp Degen;Borussia Dortmund;24 Août 2005 ;184 cm;81 kg;Droit;22;;;74;66;78;79;;67;62;;;;57;70;67;55;71;79;73;;79;;;63;61;;61.0;;22;;;21;;21;;21;
71;Christian Wörns;Borussia Dortmund;24 Août 2005 ;184 cm;80 kg;Droit;33;;;65;56;96;94;;92;71;;;;82;60;83;52;82;84;84;;81;;;87;75;;69.0;;28;;;21;;21;;25;
72;Christoph Metzelder;Borussia Dortmund;24 Août 2005 ;193 cm;84 kg;Droit;24;;;71;31;94;92;;81;84;;;;85;35;72;69;78;86;89;;79;;;92;50;;51.0;;39;;;22;;25;;23;
73;Dédé;Borussia Dortmund;24 Août 2005 ;176 cm;69 kg;Gauche;27;;;87;87;62;71;;72;79;;;;71;89;88;83;84;81;72;;83;;;56;75;;61.0;;47;;;25;;23;;20;
74;Nuri Sahin;Borussia Dortmund;24 Août 2005 ;179 cm;65 kg;Gauche;16;;;68;72;29;42;;61;62;;;;52;69;69;66;65;72;71;;72;;;37;58;;53.0;;51;;;22;;23;;23;
75;Florian Kringe;Borussia Dortmund;24 Août 2005 ;187 cm;83 kg;Gauche;23;;;81;71;57;80;;74;72;;;;71;71;76;76;63;81;72;;68;;;78;65;;62.0;;59;;;23;;20;;24;
76;Delron Buckley;Borussia Dortmund;24 Août 2005 ;177 cm;78 kg;Gauche;27;;;71;69;29;34;;71;71;;;;71;77;66;51;85;81;83;;91;;;62;62;;69.0;;78;;;22;;22;;21;
77;Tomás Rosicky;Borussia Dortmund;24 Août 2005 ;175 cm;67 kg;Droit;24;;;93;92;41;42;;75;92;;;;92;81;94;78;80;69;52;;78;;;55;65;;91.0;;66;;;24;;22;;22;
78;Euzebiusz Smolarek;Borussia Dortmund;24 Août 2005 ;178 cm;68 kg;Gauche;24;;;88;79;33;43;;81;64;;;;65;71;57;46;90;79;57;;91;;;72;73;;64.0;;86;;;21;;25;;24;
79;Jan Koller;Borussia Dortmund;24 Août 2005 ;202 cm;100 kg;Droit;32;;;81;69;31;53;;82;85;;;;77;62;69;42;68;78;95;;72;;;96;91;;72.0;;90;;;22;;23;;22;
80;David Odonkor;Borussia Dortmund;24 Août 2005 ;174 cm;74 kg;Droit;21;;;62;73;31;45;;51;57;;;;52;63;52;45;89;76;67;;92;;;61;65;;64.0;;55;;;23;;20;;23;
81;Dennis Gentenaar;Borussia Dortmund;24 Août 2005 ;180 cm;78 kg;Droit;29;;;30;35;30;35;;75;64;;;;72;35;35;25;60;70;68;;62;;;35;35;;24.0;;21;;;71;;69;;73;
82;Bernd Meier;Borussia Dortmund;24 Août 2005 ;194 cm;93 kg;Droit;33;;;30;25;25;22;;65;69;;;;66;25;24;25;56;75;80;;61;;;25;22;;21.0;;25;;;71;;65;;63;
83;Salvatore Gambino;Borussia Dortmund;24 Août 2005 ;175 cm;69 kg;Droit;21;;;75;76;32;38;;51;69;;;;56;68;76;31;67;71;43;;72;;;45;75;;57.0;;64;;;21;;20;;20;
84;Uwe Hünemeier;Borussia Dortmund;24 Août 2005 ;185 cm;80 kg;Droit;19;;;41;39;57;68;;56;52;;;;54;45;45;45;51;63;51;;51;;;67;61;;53.0;;38;;;22;;20;;23;
85;Sebastian Kehl;Borussia Dortmund;24 Août 2005 ;188 cm;80 kg;Gauche;25;;;81;67;78;83;;95;81;;;;76;66;68;61;58;79;74;;62;;;83;68;;65.0;;67;;;22;;21;;24;
86;Sascha Rammel;Borussia Dortmund;24 Août 2005 ;178 cm;65 kg;Droit;20;;;51;49;68;67;;51;51;;;;73;66;60;61;87;62;52;;91;;;45;56;;51.0;;47;;;24;;22;;22;
87;Lars Ricken;Borussia Dortmund;24 Août 2005 ;178 cm;72 kg;Droit;29;;;76;68;23;53;;66;64;;;;62;67;79;73;78;71;62;;79;;;62;72;;69.0;;77;;;20;;20;;24;
88;Marc-André Kruska;Borussia Dortmund;24 Août 2005 ;175 cm;65 kg;Droit;18;;;71;61;51;55;;62;42;;;;44;61;77;67;67;68;56;;69;;;63;57;;53.0;;41;;;21;;21;;20;
89;Marc Heitmeier;Borussia Dortmund;24 Août 2005 ;185 cm;73 kg;Gauche;20;;;52;39;64;72;;61;52;;;;53;42;47;43;61;74;74;;65;;;72;58;;56.0;;48;;;21;;22;;24;
90;Nizamettin Caliskan;Borussia Dortmund;24 Août 2005 ;170 cm;65 kg;Gauche;18;;;68;72;31;41;;58;61;;;;61;61;69;64;66;72;64;;71;;;52;56;;52.0;;51;;;21;;25;;21;
91;Markus Brzenska;Borussia Dortmund;24 Août 2005 ;196 cm;87 kg;Droit;21;;;57;52;74;77;;84;67;;;;67;53;45;55;63;75;76;;62;;;75;59;;62.0;;45;;;21;;23;;21;
92;Frank Rost;Schalke 04;24 Août 2005 ;194 cm;90 kg;Droit;32;;;25;28;23;31;;82;76;;;;72;30;36;35;56;53;70;;62;;;27;45;;24.0;;26;;;85;;85;;86;
93;Hamit Altintop;Schalke 04;24 Août 2005 ;182 cm;82 kg;Droit;22;;;81;83;43;73;;77;78;;;;62;80;83;74;74;72;79;;78;;;49;85;;86.0;;73;;;24;;20;;21;
94;Marcelo José Bordon;Schalke 04;24 Août 2005 ;189 cm;86 kg;Gauche;29;;;76;48;89;88;;84;85;;;;73;57;71;76;67;83;92;;74;;;92;95;;86.0;;59;;;25;;20;;20;
95;Mladen Krstajic;Schalke 04;24 Août 2005 ;191 cm;81 kg;Gauche;31;;;67;49;86;89;;91;84;;;;73;53;66;68;73;87;90;;76;;;91;85;;76.0;;58;;;24;;24;;25;
96;Christian Pander;Schalke 04;24 Août 2005 ;186 cm;80 kg;Gauche;21;;;74;72;65;82;;68;76;;;;59;82;66;74;73;62;69;;82;;;63;76;;61.0;;42;;;22;;24;;20;
97;Fabian Ernst;Schalke 04;24 Août 2005 ;183 cm;80 kg;Gauche;26;;;83;67;75;84;;83;86;;;;82;76;92;91;71;90;80;;76;;;74;77;;83.0;;68;;;24;;23;;21;
98;Zlatan Bajramovic;Schalke 04;24 Août 2005 ;182 cm;76 kg;Droit;26;;;81;75;66;70;;80;91;;;;78;72;81;75;77;79;83;;81;;;76;76;;78.0;;87;;;22;;22;;21;
99;Levan Kobiashvili;Schalke 04;24 Août 2005 ;183 cm;78 kg;Gauche;28;;;84;73;73;74;;77;84;;;;88;77;76;73;82;85;71;;84;;;54;72;;66.0;;52;;;24;;21;;21;
100;Lincoln;Schalke 04;24 Août 2005 ;177 cm;71 kg;Droit;26;;;90;87;30;42;;69;83;;;;83;81;92;83;84;73;71;;85;;;36;69;;76.0;;45;;;21;;23;;20;
101;Gerald Asamoah;Schalke 04;24 Août 2005 ;180 cm;83 kg;Droit;26;;;73;74;29;57;;77;73;;;;62;70;75;54;82;81;94;;86;;;71;86;;77.0;;76;;;20;;20;;20;
102;Kevin Kuranyi;Schalke 04;24 Août 2005 ;189 cm;80 kg;Droit;23;;;84;83;29;63;;73;85;;;;67;53;81;37;87;87;82;;88;;;93;81;;78.0;;84;;;20;;24;;24;
103;Christian Poulsen;Schalke 04;24 Août 2005 ;182 cm;76 kg;Droit;25;;;72;56;84;88;;93;81;;;;61;74;73;74;78;91;80;;82;;;75;74;;69.0;;43;;;24;;22;;20;
104;Ebbe Sand;Schalke 04;24 Août 2005 ;183 cm;78 kg;Droit;33;;;72;68;27;37;;62;87;;;;84;62;78;46;76;75;86;;79;;;91;82;;63.0;;89;;;20;;22;;20;
105;Christofer Heimeroth;Schalke 04;24 Août 2005 ;194 cm;93 kg;Droit;24;;;31;35;36;35;;41;40;;;;64;35;35;24;43;31;61;;46;;;35;45;;20.0;;28;;;81;;67;;79;
106;Tomasz Waldoch;Schalke 04;24 Août 2005 ;187 cm;83 kg;Droit;34;;;63;45;87;84;;68;86;;;;78;43;68;56;56;74;84;;63;;;87;72;;47.0;;56;;;21;;22;;22;
107;Gustavo Varela;Schalke 04;24 Août 2005 ;174 cm;72 kg;Droit;27;;;85;87;40;43;;78;76;;;;68;76;84;73;87;65;67;;88;;;38;72;;68.0;;56;;;21;;20;;25;
108;Tim Hoogland;Schalke 04;24 Août 2005 ;183 cm;75 kg;Droit;20;;;64;59;77;71;;79;56;;;;51;75;69;64;74;78;77;;76;;;69;68;;52.0;;42;;;24;;21;;21;
109;Simon Cziommer;Schalke 04;24 Août 2005 ;176 cm;74 kg;Droit;24;;;79;76;53;62;;76;71;;;;68;73;77;72;71;81;64;;74;;;47;67;;69.0;;56;;;21;;21;;25;
110;Søren Larsen;Schalke 04;24 Août 2005 ;193 cm;86 kg;Gauche;23;;;71;72;51;59;;72;82;;;;68;72;71;63;67;74;88;;72;;;83;78;;73.0;;86;;;23;;24;;23;
111;Darío Rodríguez;Schalke 04;24 Août 2005 ;183 cm;82 kg;Gauche;30;;;63;53;74;73;;77;68;;;;43;57;62;51;79;71;74;;80;;;68;76;;62.0;;38;;;20;;22;;23;
112;Mimoun Azaouagh;Schalke 04;24 Août 2005 ;175 cm;63 kg;Droit;22;;;82;85;42;61;;64;74;;;;72;73;78;66;89;61;54;;90;;;30;59;;68.0;;59;;;23;;20;;21;
113;Thomas Kläsener;Schalke 04;24 Août 2005 ;187 cm;82 kg;Droit;29;;;56;33;73;76;;80;62;;;;64;42;46;46;62;78;84;;73;;;85;79;;46.0;;48;;;20;;20;;22;
114;Christian Petereit;Schalke 04;24 Août 2005 ;189 cm;83 kg;Droit;21;;;46;27;79;70;;76;61;;;;43;44;51;52;62;68;79;;65;;;76;73;;35.0;;37;;;22;;22;;22;
115;Christian Fiedler;Hertha Berlin;24 Août 2005 ;180 cm;76 kg;Gauche;30;;;21;21;24;23;;42;62;;;;51;23;20;20;44;48;55;;40;;;23;35;;23.0;;22;;;81;;77;;83;
116;Arne Friedrich;Hertha Berlin;24 Août 2005 ;185 cm;78 kg;Droit;26;;;74;74;87;89;;83;85;;;;71;73;73;81;83;89;87;;85;;;85;86;;68.0;;60;;;24;;22;;22;
117;Josip Simunic;Hertha Berlin;24 Août 2005 ;195 cm;89 kg;Gauche;27;;;63;36;86;85;;76;87;;;;90;54;64;66;67;82;79;;76;;;84;71;;68.0;;27;;;23;;21;;20;
118;Dick van Burik;Hertha Berlin;24 Août 2005 ;186 cm;90 kg;Gauche;31;;;59;23;84;82;;91;87;;;;62;46;68;72;64;73;81;;73;;;81;73;;54.0;;43;;;20;;23;;25;
119;Malik Fathi;Hertha Berlin;24 Août 2005 ;185 cm;85 kg;Gauche;21;;;77;67;81;84;;78;83;;;;73;78;73;72;72;74;79;;76;;;68;74;;64.0;;46;;;25;;20;;21;
120;Ellery Cairo;Hertha Berlin;24 Août 2005 ;178 cm;76 kg;Droit;27;;;83;83;42;35;;73;68;;;;71;88;76;74;87;70;62;;93;;;35;62;;66.0;;57;;;21;;21;;22;
121;Niko Kovac;Hertha Berlin;24 Août 2005 ;178 cm;75 kg;Droit;33;;;67;47;83;82;;93;84;;;;82;62;76;84;71;83;92;;77;;;86;84;;78.0;;64;;;23;;20;;21;
122;Gilberto;Hertha Berlin;24 Août 2005 ;180 cm;78 kg;Gauche;29;;;82;85;61;67;;62;78;;;;70;87;83;82;86;79;77;;88;;;51;78;;68.0;;47;;;25;;22;;23;
123;Yildiray Bastürk;Hertha Berlin;24 Août 2005 ;168 cm;68 kg;Droit;26;;;89;89;36;44;;78;77;;;;67;82;86;78;91;61;57;;87;;;28;73;;70.0;;59;;;25;;22;;20;
124;Marcelinho;Hertha Berlin;24 Août 2005 ;174 cm;68 kg;Gauche;30;;;91;92;22;36;;71;82;;;;82;83;92;83;87;73;59;;85;;;32;82;;84.0;;83;;;21;;22;;25;
125;Nando Rafael;Hertha Berlin;24 Août 2005 ;180 cm;75 kg;Droit;21;;;83;78;22;37;;75;68;;;;62;63;72;56;86;67;82;;87;;;61;74;;67.0;;74;;;21;;23;;23;
126;Artur Wichniarek;Hertha Berlin;24 Août 2005 ;183 cm;79 kg;Droit;28;;;76;72;22;42;;86;75;;;;56;61;70;56;80;67;72;;82;;;75;79;;69.0;;76;;;21;;22;;22;
