;player;club;date;taille;poid;meilleur_pied;age;valeur;salaire;controles;dribbles;marquage;tacle_glisse;tacle_debout;engagement;reactivite;placement;intercept;vista;discipline;passe_centre;passe_courte;passe_longue;phy_acceleration;phy_endurance;phy_force; phy_equilibre;phy_vitesse;phy_agilite;phy_detente;tir_tete;tir_frappe;tir_finition;tir_loin;tir_effet;tir_precision;tir_penalty;tir_volee;gardien_placement;gardien_plongeon;gardien_main;gardien_pied;gardien_reflexe;phy_equilibre
0;Emre Can;Borussia Dortmund;4 Février 2021 ;186 cm;86 kg;Droit;27;€35.500.000;€70.000;79;82;81;81;87;88;81;78;84;79;83;71;84;83;67;88;86;;84;73;87;82;85;76;81;77;64;60;71;13;14;8;8;11;75
0;Thomas Delaney;Borussia Dortmund;4 Février 2021 ;182 cm;79 kg;Gauche;29;€27.000.000;€70.000;75;73;85;86;81;85;80;75;86;73;78; 1;76; 1;77;88;77;;77;73;91;83;78; 3;74;71;68;60; 1;14;8;12;11;15;72
0;Jadon Sancho;Borussia Dortmund;4 Février 2021 ;180 cm;76 kg;Droit;20;€105.500.000;€75.000;90;91;32;32;41;44;85;82;39;87;84;82;86;67;85;77;67;;81;91;51;38;72;80;63;84;65;62;83;11;7;11;10;13;90
0;Julian Brandt;Borussia Dortmund;4 Février 2021 ;185 cm;83 kg;Droit;24;€52.000.000;€70.000;86;88;48;49;47;38;83;80;47;85;84;81;83;85;77;80;71;;84;84;64;54;81;76;79;77;65;54;79;8;11;16;11;9;83
0;Marco Reus;Borussia Dortmund;4 Février 2021 ;180 cm;71 kg;Droit;31; ; ;86;85;51;54;38;51;85; 1;48;84; 1;85;85;76;77;67;66;; 1;82;70;44;87;84;83;88;85;86;87;13;12;12;13;11;82
0;Erling Haaland;Borussia Dortmund;4 Février 2021 ;194 cm;88 kg;Gauche;20;€104.500.000;€65.000;81;75;45;30;40;83;86;88;41;68;83;46;74;49;82;78;91;;91;75;70;67;93;92;85;77;62; 1;84;11;7;14;13;7;67
0;Mahmoud Dahoud;Borussia Dortmund;4 Février 2021 ;178 cm;68 kg;Droit;25;€14.500.000;€43.000;81;82;72;52;59;71;77;66;77;79;63;67;79;74;78;89;57;;68;86;71;43;81;58;73;68;53;55;59;12;14;7;9;11;87
0;Thorgan Hazard;Borussia Dortmund;4 Février 2021 ;175 cm;71 kg;Droit;27;€38.500.000;€80.000;84;86;56;48;46;57;82;81;63;83;78;81;82;73;86;80;65;;83;91;60;39;78;76;77;82;81;81;80;7;6;9;7;8;88
0;Axel Witsel;Borussia Dortmund;4 Février 2021 ;186 cm;81 kg;Droit;32;€25.500.000;€70.000;81;78;82;80;80;76;85;73;83;79;90;69;90;83;60;78;82;;63;75;78;84;75;71;71;71;68;76;77;10;5;7;7;7;70
0;Felix Passlack;Borussia Dortmund;4 Février 2021 ;170 cm;74 kg;Droit;22; ;€18.500;71;70;68;66;67;83;67;62;62;61;64;68;71;59;74;78;71;;72;75;74;44;70;56;54;69;63;66;53;16;10;11;10;9;90
0;Reinier;Borussia Dortmund;4 Février 2021 ;185 cm;72 kg;Droit;19;€4.400.000;€30.000;74;77;42;40;47;60;68;68;31;70;74;58;67;57;84;69;67;;79;78;54;59;72;68;64;72;55;67;70;5;13;8;13;11;69
0;Nico Schulz;Borussia Dortmund;4 Février 2021 ;181 cm;83 kg;Gauche;27;€15.000.000;€48.000;73;73;72;75;73;73;76;72;75;75;74;79;74;73;82;76;79;;87;72;62;60;65;48;40;59;42;56;49;7;13;9;15;14;73
0;Łukasz Piszczek;Borussia Dortmund;4 Février 2021 ;184 cm;79 kg;Droit;35;€3.700.000;€35.000;72;71;82;80;80;77;80;73;80;73;82;77;76;72;70;72;77;;72;66;76;75;78;64;69;80;47;65;64;6;14;11;14;12;66
0;Giovanni Reyna;Borussia Dortmund;4 Février 2021 ;185 cm;79 kg;Droit;18;€13.000.000;€5.800;79;84;35;30;35;54;76;64;33;76;74;68;79;63;78;74;69;;76;84;63;45;70;66;65;78;64;50;64;12;10;13;14;7;80
0;Marwin Hitz;Borussia Dortmund;4 Février 2021 ;194 cm;89 kg;Droit;33;€7.000.000;€39.000;17;13;13;14;15;25;72;8;23;25;44;12;29;33;41;38;78;;46;41;67;18;47;27;12;15;17;22;26;79;79;77;63;80;31
0;Mateu Morey;Borussia Dortmund;4 Février 2021 ;173 cm;67 kg;Droit;20;€3.700.000;€16.500;72;74;63;70;66;75;69;62;68;59;61;69;72;54;82;68;50;;75;84;63;38;51;49;32;63;40;38;39;7;6;13;7;5;86
0;Dan-Axel Zagadou;Borussia Dortmund;4 Février 2021 ;196 cm;90 kg;Gauche;21;€33.000.000;€38.000;52;51;78;80;87;76;73;31;77;59;78;46;75;74;51;66;92;;65;39;64;79;66;26;25;37;25;30;25;14;9;13;5;14;34
0;Jude Bellingham;Borussia Dortmund;4 Février 2021 ;186 cm;75 kg;Droit;17;€9.500.000;€5.300;77;78;57;53;76;73;75;68;65;72;73;62;75;74;78;74;68;;76;81;75;53;74;68;67;58;45;56;60;5;14;11;10;8;76
0;Kamal Bafounta;Borussia Dortmund;4 Février 2021 ;193 cm;81 kg;Droit;19;€550.000;€1.900;63;59;54;50;62;59;49;55;56;47;43;39;65;62;61;53;64;;65;63;59;61;57;48;46;51;44;48;54;13;8;14;14;10;50
0;Marcel Schmelzer;Borussia Dortmund;4 Février 2021 ;180 cm;74 kg;Gauche;33;€2.100.000;€34.000;67;63;76;73;74;80;74;54;75;52;72;70;71;63;67;62;74;;64;65;75;67;73;34;54;71;64;46;47;9;14;10;15;8;63
0;Tobias Raschl;Borussia Dortmund;4 Février 2021 ;177 cm;75 kg;Droit;20;€1.100.000;€6.100;67;64;56;59;58;69;59;44;59;57;62;54;68;66;66;55;63;;62;71;64;43;57;42;39;49;53;38;44;14;10;10;10;8;75
0;Luca Unbehaun;Borussia Dortmund;4 Février 2021 ;185 cm;82 kg;Droit;19;€900.000;€2.500;19;10;8;11;10;19;60;5;13;45;39;8;29;28;49;30;68;;59;58;83;10;50;6;6;8;9;11;7;63;54;59;66;66;62
0;Steffen Tigges;Borussia Dortmund;4 Février 2021 ;195 cm;91 kg;Gauche;22;€950.000;€8.700;54;55;39;33;42;72;62;63;38;54;54;60;62;44;53;75;86;;60;45;57;69;69;67;57;42;28;55;59;11;6;13;14;10;42
0;Ansgar Knauff;Borussia Dortmund;4 Février 2021 ;180 cm;73 kg;Droit;19;€1.500.000;€3.600;68;68;39;36;29;43;51;52;36;53;49;65;63;44;81;69;45;;77;73;60;32;52;55;39;57;41;41;53;14;8;13;13;7;69
0;Stefan Drljača;Borussia Dortmund;4 Février 2021 ;192 cm;87 kg;Droit;21;€775.000;€4.000;14;8;15;12;8;29;59;5;12;38;44;8;22;23;24;30;75;;42;38;60;11;44;7;8;12;10;15;6;59;64;60;58;62;30
0;Dominik Wanner;Borussia Dortmund;4 Février 2021 ;176 cm;71 kg;Gauche;21;€550.000;€5.300;64;63;49;54;52;50;50;47;45;48;45;62;61;43;68;64;52;;67;74;59;46;56;54;42;58;44;44;49;7;5;13;10;13;68
0;Patrick Osterhage;Borussia Dortmund;4 Février 2021 ;183 cm;73 kg;Gauche;21;€400.000;€5.300;65;62;43;47;43;51;54;45;47;55;49;39;64;59;67;55;61;;67;67;66;52;44;46;41;43;39;42;41;6;12;5;12;6;66
0;Alaa Bakir;Borussia Dortmund;4 Février 2021 ;179 cm;71 kg;Droit;20;€625.000;€4.100;64;68;33;24;26;39;51;49;22;50;51;61;60;54;69;49;51;;65;75;62;43;53;53;41;57;44;49;55;11;7;12;9;6;77
0;Péter Gulácsi;RB Leipzig;4 Février 2021 ;191 cm;86 kg;Droit;30;€36.000.000;€65.000;25;19;25;20;16;34;82;11;23;42;45;16;35;31;42;35;74;;44;41;67;23;62;10;12;18;11;24;10;84;84;85;82;86;42
0;Nordi Mukiele;RB Leipzig;4 Février 2021 ;187 cm;84 kg;Droit;23;€31.500.000;€45.000;74;73;76;81;85;72;73;59;83;64;72;74;73;70;77;75;79;;87;68;90;74;57;30;52;69;33;45;35;11;10;7;14;15;65
0;Willi Orban;RB Leipzig;4 Février 2021 ;186 cm;87 kg;Droit;28;€18.500.000;€50.000;57;52;80;78;83;79;74;40;80;44;72;39;69;58;50;68;85;;49;48;90;84;37;38;29;28;32;41;31;10;15;12;15;6;56
0;Dayot Upamecano;RB Leipzig;4 Février 2021 ;186 cm;90 kg;Droit;22;€54.000.000;€40.000;69;69;78;84;84;83;77;47;77;58;71;48;77;73;69;62;90;;89;63;87;82;60;39;40;32;28;39;27;15;6;7;8;9;65
0;Marcel Halstenberg;RB Leipzig;4 Février 2021 ;188 cm;87 kg;Gauche;29;€22.000.000;€60.000;75;71;82;76;82;77;80;63;78;64;74;82;77;64;67;83;79;;66;65;85;81;79;59;69;77;75;73;60;10;9;15;14;16;61
0;Angeliño;RB Leipzig;4 Février 2021 ;175 cm;69 kg;Gauche;24;€40.500.000;€110.000;84;84;77;80;78;77;81;79;80;79;81;88;83;81;86;85;60;;64;82;73;65;80;68;69;83;76;55;63;13;13;6;13;13;85
0;Dani Olmo;RB Leipzig;4 Février 2021 ;179 cm;72 kg;Droit;22;€39.500.000;€48.000;83;83;50;44;50;51;76;80;57;78;82;77;78;77;77;79;54;;60;80;55;43;79;75;76;72;75;66;76;12;15;15;13;11;86
0;Kevin Kampl;RB Leipzig;4 Février 2021 ;178 cm;66 kg;Droit;30;€25.000.000;€65.000;84;85;66;59;63;66;82;72;75;82;84;72;84;78;79;86;47;;62;90;67;34;69;62;74;80;75;64;68;6;13;11;7;16;82
0;Marcel Sabitzer;RB Leipzig;4 Février 2021 ;178 cm;76 kg;Droit;26;€52.000.000;€80.000;82;79;71;59;70;77;86;83;66;83;80;74;84;81;76;85;76;;83;75;71;60;88;81;88;75;78;72;82;15;11;13;14;13;80
0;Emil Forsberg;RB Leipzig;4 Février 2021 ;177 cm;76 kg;Droit;29; ; ; 1; 1;38;16;27;61; 3; 3;44; 2;79;82;86; 1;72;69;59;;68;78;53;44;71; 3;72;79;75;71;65;15;13;7;9;11;82
0;Alexander Sørloth;RB Leipzig;4 Février 2021 ;194 cm;90 kg;Gauche;25;€11.000.000;€42.000;75;70;39;21;23;74;76;78;36;69;79;66;67;59;72;83;88;;83;56;64;77;80;77;68;74;60;70;69;15;15;12;8;8;56
0;Tyler Adams;RB Leipzig;4 Février 2021 ;175 cm;72 kg;Droit;21;€16.000.000;€28.500;73;70;74;69;76;76;77;65;74;71;75;52;77;72;78;86;68;;74;79;83;65;51;48;46;52;42;51;33;8;6;13;12;7;85
0;Ibrahima Konaté;RB Leipzig;4 Février 2021 ;194 cm;95 kg;Droit;21;€29.500.000;€32.000;69;69;76;79;85;77;71;37;78;51;74;38;75;69;68;68;83;;79;65;74;77;45;29;31;32;27;41;28;9;9;7;9;15;55
0;Philipp Tschauner;RB Leipzig;4 Février 2021 ;196 cm;100 kg;Droit;35;€400.000;€23.000;22;7;20;15;12;27;72;14;9;41;38;7;24;25;38;23;75;;46;36;60;47;50;9;15;15;15;22;7;71;71;70;66;73;37
0;Konrad Laimer;RB Leipzig;4 Février 2021 ;180 cm;72 kg;Droit;23; ; ; 1; 1;83;75;79;85;79;71;84; 1;79;78; 2; 1;83; 1;69;;86;76;73;69;72;69;68;70;47;54;60;13;9;12;12;12;74
0;Hwang Hee Chan;RB Leipzig;4 Février 2021 ;177 cm;77 kg;Droit;25;€11.500.000;€42.000;77;79;28;24;23;57;76;79;22;78;74;69;75;65;94;74;67;;89;91;83;61;74;78;71;61;44;72;75;11;11;7;10;15;71
0;Benjamin Henrichs;RB Leipzig;4 Février 2021 ;183 cm;79 kg;Droit;23;€10.000.000;€34.000;75;76;73;74;74;68;73;62;74;69;75;74;74;66;74;74;68;;75;75;66;63;62;50;46;73;49;59;53;12;8;9;13;14;69
0;Justin Kluivert;RB Leipzig;4 Février 2021 ;172 cm;66 kg;Droit;21;€12.500.000;€31.000;79;81;47;27;32;63;70;67;25;69;74;71;68;54;89;65;52;;90;86;62;52;77;69;76;72;58;66;67;7;5;6;14;12;84
0;Christopher Nkunku;RB Leipzig;4 Février 2021 ;179 cm;72 kg;Droit;23;€34.000.000;€50.000;84;86;70;70;72;62;77;78;69;79;79;81;82;77;79;74;63;;77;85;59;59;79;74;76;81;76;65;59;15;5;6;10;7;83
0;Yussuf Poulsen;RB Leipzig;4 Février 2021 ;192 cm;84 kg;Droit;26;€17.500.000;€55.000;75;75;57;32;59;83;80;81;51;69;72;68;73;53;80;86;78;;82;73;83;85;73;76;58;70;42;58;75;14;6;11;15;8;54
0;Josep Martínez;RB Leipzig;4 Février 2021 ;191 cm;78 kg;Droit;22;€2.300.000;€10.500;11;8;15;15;13;24;54;11;11;52;42;12;25;22;24;42;58;;30;32;37;11;48;6;7;11;12;18;6;67;70;68;64;69;22
0;Lukas Klostermann;RB Leipzig;4 Février 2021 ;187 cm;88 kg;Droit;24;€29.000.000;€45.000;73;71;84;85;81;72;81;70;81;62;68;72;74;63;79;82;75;;88;63;82;78;58;59;31;45;22;26;41;7;8;12;10;7;60
0;Amadou Haidara;RB Leipzig;4 Février 2021 ;175 cm;72 kg;Droit;23; ; ; 1; 2; 2;62; 2;67; 1;74; 2; 1; 1; 2; 1;73;74;79;65;; 1;79;76;50;77;69;77;75;62;62;61;7;7;11;8;10;75
0;Dominik Szoboszlai;RB Leipzig;4 Février 2021 ;186 cm;74 kg;Droit;20;€23.000.000;€26.500;83;80;35;25;30;40;73;63;32;78;80;78;78;77;78;74;69;;85;78;69;58;84;73;84;88;87;79;79;10;10;10;13;6;61
0;Lazar Samardžić;RB Leipzig;4 Février 2021 ;184 cm;79 kg;Gauche;18;€1.200.000;€3.100;73;70;37;22;24;44;52;52;25;57;55;51;65;56;68;44;56;;58;75;52;39;64;64;58;55;66;50;50;11;11;14;14;15;73
0;Novoa;RB Leipzig;4 Février 2021 ;176 cm;65 kg;Droit;18;€625.000;€1.500;62;58;17;18;20;38;63;60;15;48;52;36;50;42;55;53;42;;54;77;65;63;62;68;58;42;38;60;47;7;15;9;14;10;75
0;Dennis Borkowski;1. FC Nuremberg;4 Février 2021 ;184 cm;74 kg;Droit;19;€675.000;€2.900;64;60;24;18;20;40;59;60;24;45;58;40;46;39;62;64;56;;60;60;71;64;60;64;57;40;30;50;48;14;9;11;8;8;60
0;Fabrice Hartmann;RB Leipzig;4 Février 2021 ;178 cm;66 kg;Droit;19;€650.000;€4.400;63;63;20;20;26;32;45;64;18;44;60;52;50;43;69;60;45;;67;69;50;45;65;68;58;45;42;55;58;14;8;11;5;12;71
0;Joscha Wosz;RB Leipzig;4 Février 2021 ;174 cm;75 kg;Droit;18;€500.000;€1.500;69;69;46;41;44;42;59;44;43;55;65;51;63;59;64;51;43;;68;67;54;39;65;47;45;54;47;48;50;8;9;7;6;5;78
0;Tim Schreiber;Hallescher FC;4 Février 2021 ;190 cm;87 kg;Droit;18;€500.000;€1.500;18;14;9;14;10;28;49;5;12;29;31;14;28;26;29;30;65;;28;38;40;10;43;7;6;11;11;18;9;57;58;61;57;58;25
0;Lukáš Hrádecký;Bayer 04 Leverkusen;4 Février 2021 ;192 cm;82 kg;Droit;31;€24.000.000;€65.000;20;10;10;13;10;31;82;9;18;53;48;11;30;33;38;34;55;;44;43;69;11;52;11;14;11;15;20;9;83;85;78;69;87;39
0;Lars Bender;Bayer 04 Leverkusen;4 Février 2021 ;185 cm;78 kg;Droit;31;€18.500.000;€65.000;76;71;86;82;83;78;83;69;85;75;83;72;78;74;62;77;76;;59;64;75;78;74;58;71;49;47;52;57;12;12;6;7;7;64
0;Jonathan Tah;Bayer 04 Leverkusen;4 Février 2021 ;195 cm;97 kg;Droit;24;€20.000.000;€45.000;64;55;78;78;82;76;78;27;77;60;75;35;72;63;63;64;91;;68;48;72;78;44;20;25;30;27;38;24;9;11;8;7;14;38
0;Edmond Tapsoba;Bayer 04 Leverkusen;4 Février 2021 ;192 cm;78 kg;Droit;22;€40.000.000;€44.000;65;61;83;77;84;83;79;27;82;60;81;39;82;74;71;74;79;;76;65;75;81;74;54;30;46;32;77;33;7;5;10;13;15;62
0;Daley Sinkgraven;Bayer 04 Leverkusen;4 Février 2021 ;179 cm;65 kg;Gauche;25; ;€40.000;80;80;74;69;72;77;77;70;75;79;69;76;78;77;79;71;54;;77;83;72;69;63;58;59;74;65;56;67;14;10;13;11;15;75
0;Charles Aránguiz;Bayer 04 Leverkusen;4 Février 2021 ;171 cm;70 kg;Droit;31;€25.500.000;€80.000;83;79;86;72;74;81;87;75;85;81;81;78;85;84;71;85;64;;51;79;61;53;78;66;77;75;76;76;68;8;15;7;12;13;86
0;Florian Wirtz;Bayer 04 Leverkusen;4 Février 2021 ;175 cm;68 kg;Droit;17;€13.000.000;€6.300;79;81;55;52;50;56;72;70;45;75;63;66;77;69;75;77;50;;74;85;51;43;65;69;64;66;52;60;63;6;14;14;13;10;78
0;Nadiem Amiri;Bayer 04 Leverkusen;4 Février 2021 ;180 cm;73 kg;Droit;24; ; ; 1;85;56;48;59;50; 1; 1;63; 1; 2;79;79;78;76;76;65;;64;83;66;44; 3;69; 2;76;71;65;66;12;12;12;14;10;78
0;Leon Bailey;Bayer 04 Leverkusen;4 Février 2021 ;178 cm;79 kg;Gauche;23; ; ; 1; 2;45;18;25;58; 1; 2;21; 2;75;73;73;63;93;75;59;; 1; 1;77;57;79; 1; 1; 2;79;71;74;15;12;13;6;14;84
0;Patrik Schick;Bayer 04 Leverkusen;4 Février 2021 ;186 cm;73 kg;Gauche;25;€21.500.000;€55.000;83;82;50;19;24;59;76;80;25;73;73;64;78;62;71;64;72;;70;83;68;80;74;79;74;78;56;58;74;9;11;15;8;14;67
0;Moussa Diaby;Bayer 04 Leverkusen;4 Février 2021 ;170 cm;67 kg;Gauche;21;€51.000.000;€60.000;82;87;46;46;39;54;77;76;48;77;75;75;79;70;96;69;44;;93;90;62;28;73;73;54;66;41;42;63;8;8;9;8;14;92
0;Kerem Demirbay;Bayer 04 Leverkusen;4 Février 2021 ;183 cm;74 kg;Gauche;27; ; ;85; 2;72;54;59;69; 2;78;71; 1;84;72;82;80;68; 2;67;;62;79;71;46;77;74;77;85;81;70;59;14;14;15;11;14;78
